Layers,Heads,Rank,Test_Type,Accuracy,Parse_Rate,Avg_Gen_Len
8,8,16,depth2,4.0,100.0,58.3
2,16,16,depth4,0.0,20.0,444.83
6,16,4,depth3,3.0,97.0,192.54
2,16,8,depth5,0.0,18.0,449.75
4,16,16,max,2.1999999999999997,32.2,231.4
4,4,16,depth5,0.0,6.0,468.49
2,16,4,depth2,2.0,94.0,110.8
2,4,32,depth3,1.0,76.0,296.52
2,16,8,depth1,0.0,97.0,22.8
4,2,4,depth1,8.0,100.0,23.15
2,2,8,depth2,0.0,100.0,46.24
6,16,16,depth1,1.0,100.0,21.28
6,2,8,depth1,3.0,100.0,22.86
8,16,32,depth1,7.000000000000001,100.0,19.14
4,8,4,depth1,1.0,100.0,19.96
6,8,16,max,0.0,9.2,250.524
4,2,16,depth2,1.0,100.0,58.88
2,8,16,depth5,0.0,30.0,414.95
4,16,8,depth1,1.0,91.0,19.3
8,8,16,depth4,0.0,28.999999999999996,471.27
8,8,16,depth3,1.0,99.0,177.54
4,4,32,depth2,0.0,99.0,69.58
8,16,16,depth1,0.0,99.0,18.01
4,8,8,depth3,1.0,99.0,168.14
2,16,16,depth5,0.0,16.0,444.05
2,2,4,max,0.0,24.4,245.816
8,8,8,depth5,0.0,8.0,451.99
8,4,8,depth5,0.0,11.0,468.13
8,2,32,depth5,0.0,2.0,476.25
4,4,8,depth1,0.0,85.0,28.78
8,8,4,depth5,0.0,10.0,470.21
4,4,16,depth4,0.0,19.0,446.37
4,8,8,max,0.0,21.6,208.476
4,4,4,depth2,0.0,95.0,100.0
8,2,32,max,0.0,8.4,288.168
6,16,32,depth2,5.0,98.0,76.85
2,8,8,depth2,1.0,95.0,67.44
6,16,8,depth3,0.0,100.0,180.59
4,16,32,depth4,0.0,21.0,457.11
6,8,8,max,0.0,13.4,268.984
6,2,16,depth3,1.0,91.0,222.11
6,8,32,depth3,1.0,98.0,200.74
4,8,16,depth5,0.0,8.0,445.6
6,2,16,depth5,0.0,36.0,389.42
2,8,4,depth2,1.0,96.0,60.77
8,2,16,max,0.0,6.800000000000001,284.5
6,8,4,depth4,0.0,31.0,467.12
2,2,8,depth5,0.0,9.0,466.77
6,16,8,depth5,0.0,15.0,439.34
6,2,32,depth2,1.0,100.0,59.55
8,4,4,depth1,1.0,100.0,18.58
8,16,4,depth3,0.0,100.0,180.81
